チーム_2020,ID_2020,年_2020,試合_2020,打席_2020,打数_2020,得点_2020,安打_2020,二塁打_2020,三塁打_2020,本塁打_2020,塁打_2020,打点_2020,盗塁_2020,盗塁刺_2020,犠打_2020,犠飛_2020,四球_2020,死球_2020,三振_2020,併殺打_2020,打率_2020,長打率_2020,出塁率_2020,単打_2020,wOBA分子_2020,wOBA分母_2020,wOBA_2020,リーグwOBA_2020,打撃得点_2020,リーグ試合_2020,リーグ打席_2020,リーグ得点_2020,wRC_2020,ID_2019,年_2019,試合_2019,打席_2019,打数_2019,得点_2019,安打_2019,二塁打_2019,三塁打_2019,本塁打_2019,塁打_2019,打点_2019,盗塁_2019,盗塁刺_2019,犠打_2019,犠飛_2019,四球_2019,死球_2019,三振_2019,併殺打_2019,打率_2019,長打率_2019,出塁率_2019,単打_2019,wOBA分子_2019,wOBA分母_2019,wOBA_2019,リーグwOBA_2019,打撃得点_2019,リーグ試合_2019,リーグ打席_2019,リーグ得点_2019,wRC_2019,打席比率,p_打席_2019,p_打数_2019,p_得点_2019,p_安打_2019,p_二塁打_2019,p_三塁打_2019,p_本塁打_2019,p_塁打_2019,p_打点_2019,p_盗塁_2019,p_盗塁刺_2019,p_犠打_2019,p_犠飛_2019,p_四球_2019,p_死球_2019,p_三振_2019,p_併殺打_2019,p_単打_2019,p_wOBA分子_2019,p_wOBA分母_2019,p_wOBA_2019,p_打撃得点_2019,p_wRC_2019,伸び
オリックス,1480173712,56560,1376,4035,3573,415,893,150,22,83,1336,387,93,38,84,17,320,41,708,80,6.132,9.295999999999998,7.6080000000000005,638,1223.1000000000004,3951,7.556043354004627,8.829253978405628,-17.41131944919614,20160,758240,82964,424.08443387428986,1480173712.0,56532.0,1533.0,5412.0,4793.988505747127,478.0,1144.7963875205257,181.4263820470717,25.393541324575807,89.64367816091954,1645.940886699507,425.0,118.0,55.0,116.56978653530376,24.119868637110017,416.15161466885604,61.17022441160373,858.0,71.0,5.868000000000002,8.512,7.535999999999999,752.0,1366.1,4613.0,7.286975341819767,8.954234621458617,-98.75582891153184,24024.0,918209.0,103271.0,432.34747261651114,24.03976386733593,4035.0,3566.266716897465,339.97577387003065,839.8002608999531,125.86033357271054,17.958699336303653,75.56786070477868,1228.2815752596068,310.2077228812284,86.78974593047163,36.50714116796428,81.26208619382686,17.492622193549273,319.85895064786337,50.119624067295725,641.9260721075025,63.77978965474839,620.4133672861601,1160.8451068503225,3953.7379138061738,7.711915281531114,-93.98282494981764,360.2933896748733,63.79104419941645
中　日,1097672879,44440,1336,3921,3502,401,912,164,16,67,1309,383,33,22,52,26,307,34,630,93,4.862000000000002,6.707999999999999,6.176,665,1210.0,3869,5.833528662245165,7.008640911305128,-20.439925641635817,15840,596046,65164,408.23176077182904,1097672879.0,44418.0,1433.0,5119.0,4615.991789819376,510.0,1255.9974196575185,236.73313003362267,30.423958088982722,96.03119868637108,1841.6720619282191,506.0,63.0,31.0,78.549847525217,29.228477597935722,345.10829619204003,50.12158886543123,798.0,93.0,4.816000000000001,7.2669999999999995,5.758999999999999,824.0,1494.9,4553.0,5.786939779814067,7.018961293269504,39.17456644791223,18876.0,721655.0,79445.0,547.1025963344885,15.57977977328553,3921.0,3550.880826763734,391.5877648809623,993.762883698727,188.55450903522313,22.12849938225925,70.61711836498056,1438.4257465934108,397.02277901568715,50.97976035536947,24.162589721981142,47.834128833896266,22.342545029736247,258.46739704651344,41.475102326119526,610.751171471036,72.30707846253064,712.4627569162641,1272.9369282728467,3873.1658711661044,6.514487031014718,33.5871878383188,464.91817558550645,-56.68641481367738
北海道日本ハム,1058738006,46460,1563,4577,3971,486,981,151,15,88,1426,468,79,24,88,32,456,30,883,88,5.055,6.939000000000001,6.458,727,1390.8000000000002,4489,6.083782225099452,7.252601482261766,-17.45646212689477,16560,622840,68149,483.343057814021,1058738006.0,46437.0,1640.0,5865.0,5157.993431855502,568.0,1283.5979357260148,227.38650402689814,27.939166471186184,107.22495894909687,1888.5376495425753,538.0,50.0,25.0,85.03987802017359,34.78278207834859,534.086636953632,53.097271092345,1064.0,108.0,5.325,7.457,6.570999999999999,866.0,1687.7,5390.0,6.312247409378232,7.35567529120274,-30.623933052265553,19734.0,754238.0,84872.0,584.9997531087796,20.43876824285038,4577.0,4026.473226409765,444.1092737669988,1003.9767691902763,177.35516680252803,22.402190960604447,88.46566932756977,1491.533325896723,420.5549454545306,37.84069410689021,18.342575680053624,56.405297108620125,27.699852083660698,425.032396686129,41.389227711825114,791.5153791921747,84.85059070813288,715.753742099574,1414.0100660035775,4520.59470289138,6.5545572693424585,-26.79141634291842,488.2863386222068,-4.943280808185808
千葉ロッテ,977747763,42420,1172,3795,3225,396,773,146,10,82,1185,369,61,28,89,15,411,54,782,69,4.198000000000001,6.045,5.638000000000001,535,1176.7999999999995,3705,5.307161418602994,6.621940483804221,9.667217491477409,15120,568680,62223,424.9030003570609,977747763.0,42399.0,1548.0,5206.0,4550.494252873563,578.0,1121.8981937602628,190.71319102353587,17.696770662287904,154.32183908045977,1810.9704433497534,548.0,82.0,34.0,86.78489326765188,30.55993431855501,464.575807334428,72.58511220580186,895.0,89.0,4.539,7.098999999999999,5.93,711.0,1550.5000000000002,4777.0,5.822475870052053,6.7167828757217025,21.557768030087033,18018.0,688643.0,77567.0,568.8804685921008,15.504269674524322,3795.0,3317.1687829217362,424.26354660370083,805.226611339356,140.776481653201,10.20376198845872,119.29558454125589,1324.297370593242,403.83518864171754,52.994017944461255,26.1563696776795,59.131288643938895,21.95274157571561,340.7731013076308,55.09589301659763,658.5240232200133,57.23821830979636,534.9507831564405,1196.4906152809633,3734.99051882168,6.260346892119542,2.667698843174543,430.52552475784387,-5.622524400782963
埼玉西武,769732371,36360,1090,3819,3339,408,789,131,15,88,1214,385,70,35,56,25,361,38,759,69,3.599,5.231999999999999,4.539000000000001,555,1149.1,3763,4.384121346151416,5.675948986117904,-32.96229278623291,12960,487440,53334,384.8994871251408,769732371.0,36342.0,1323.0,5262.0,4591.492610837438,633.0,1190.2976776917662,206.0598170302604,21.18156228008445,160.12807881773398,1919.1048557353975,648.0,121.0,40.0,84.29486277269528,39.00562983814215,502.597466572836,44.6094299788881,931.0,79.0,3.599,5.578,4.943,741.0,1607.2999999999997,4739.0,4.755235956519506,5.758001488649051,88.9708135272048,15444.0,590256.0,66564.0,631.6268271890735,12.38993213789745,3819.0,3330.5988363558236,459.1055480009161,861.7676254557712,153.6749528005675,15.721370037870129,113.23264131952236,1386.5832422906458,482.676752704124,87.90430444582155,29.323154937703084,61.534427624893546,32.08372437420924,364.5533033444386,30.22970830063512,702.4984648424834,59.25176502879628,579.1386612978112,1248.9698166599562,3757.465572375107,5.38145408386589,46.15876544237567,476.8327712974623,-91.93328417232148
広島東洋,956627732,42420,1287,3798,3351,439,906,178,14,95,1397,433,54,24,48,17,344,38,679,83,4.585,6.379000000000001,5.792,619,1268.2999999999997,3750,5.502298111953731,6.690066324427622,70.33652728628155,15120,568953,62202,485.56097640598045,956627732.0,42399.0,1580.0,5168.0,4568.9934318555015,528.0,1183.5979357260148,215.38650402689814,17.939166471186173,121.22495894909687,1798.5376495425753,488.0,82.0,43.0,91.03987802017359,24.782782078348585,446.086636953632,37.09727109234498,864.0,71.0,5.056000000000001,7.292999999999999,6.270000000000001,774.0,1528.4999999999998,4687.0,6.080550501042292,6.69995784938008,36.307903726804234,18018.0,688852.0,75838.0,560.6058326339754,17.245222134380136,3798.0,3354.17458487286,345.4503502301264,854.5284943050704,156.3363054574884,15.360104387537476,85.62887170978118,1298.4716236669772,360.7420431046476,50.25912849426486,30.818281495840793,60.40333111733413,21.357693732413356,335.94683020572927,26.117560071663085,613.7127038981321,51.20903109062898,597.2032127502634,1189.999072203769,3737.596668882666,6.256842730780114,2.0719119051279407,419.7794683505459,65.7815080554345
東京ヤクルト,1173763351,52520,1413,3899,3395,434,837,145,11,113,1343,409,68,34,40,22,409,33,791,81,5.151,7.708,6.868000000000001,568,1252.7,3859,6.58082303279494,8.282939258815151,28.161546332214115,18720,704418,77012,454.4280358313467,1173763351.0,52494.0,1538.0,5340.0,4641.988505747127,565.0,1136.7963875205255,200.42638204707174,21.393541324575807,146.6436781609195,1819.9408866995068,512.0,61.0,22.0,73.56978653530379,28.11986863711001,536.151614668856,60.17022441160373,939.0,89.0,5.388000000000001,8.306000000000001,7.33,672.0,1509.6999999999998,4584.0,7.071169843062157,8.294975068827197,48.675181613846725,22308.0,852867.0,93873.0,559.2554182872741,22.252126936006256,3899.0,3402.811531019087,374.7248468831807,792.1227624498431,137.72916778799734,18.01647915729678,100.50666440665525,1267.4048817723992,331.2145582054711,44.458752535549024,13.277758973246307,49.86299094830133,15.604052638063536,386.9961549364549,43.72527045809278,697.6289356099559,68.5675749870075,535.8704510978937,1192.6760173536693,3849.1370090516984,7.53798764293267,-30.44975268771463,398.4086999491416,56.01933588220524
東北楽天,1459453685,56560,1277,4050,3486,495,907,163,17,111,1437,496,50,21,69,26,425,44,822,77,6.573999999999999,10.142,8.324,616,1343.8,3981,8.226433474450465,8.829253978405628,86.94111645001108,20160,758240,82964,530.0781179271161,1459453685.0,56532.0,1599.0,6226.0,5395.48932676519,645.0,1390.0966455547737,238.75306904370947,29.15114551567753,159.74055829228243,2166.3736805066847,608.0,43.0,34.0,117.31480178278207,33.89702087731645,596.6407850496521,82.65806552506061,1099.0,94.0,4.755,7.636999999999999,6.759000000000001,873.0,1844.3000000000002,5475.0,6.563005565643722,8.952463566054236,91.17789955456502,24024.0,918231.0,103089.0,719.9800208580532,16.89970633935231,4050.0,3490.296697069526,450.48591694116476,908.1376025959042,159.52296771972104,19.447744823021182,106.34636476157817,1425.5951542464015,405.3189850303531,31.303481824971474,26.886316490911764,73.10343874588847,26.898568571603565,406.9611350915805,52.74016052140181,716.3002146158539,59.94436198594059,622.8205252915839,1333.5183589671403,3976.896561254112,8.162264333681593,58.508646487819185,514.9319685700816,15.146149357034368
横浜DeNA,1208982886,44440,1322,3904,3532,464,972,158,9,114,1490,431,31,15,25,24,296,27,674,84,5.448,7.8770000000000024,6.673999999999998,691,1295.8,3879,6.498679265386423,7.008640911305128,56.39773465510851,15840,596046,65164,483.2108598165893,1208982886.0,44418.0,1479.0,4823.0,4322.9934318555015,497.0,1079.5979357260148,194.38650402689814,14.939166471186171,139.2249589490969,1721.5376495425753,481.0,39.0,23.0,53.039878020173596,24.782782078348575,380.086636953632,42.09727109234498,791.0,98.0,4.774,7.218999999999999,6.086,676.0,1401.5,4380.0,5.959129630526247,7.018961293269504,3.8255660706453583,18876.0,721655.0,79445.0,490.20997864955,20.10197940654412,3904.0,3486.8687149813313,404.0262199024651,864.5493113489044,159.37227077016402,12.669613372400672,118.84228966200399,1405.787677849882,425.01664118992767,31.74943878283605,11.139236272767434,42.34440226138459,19.061219083043234,328.6501572110985,27.07550646314161,639.4147743298652,82.94457983507745,573.6651375443358,1230.4465010829324,3861.655597738615,6.547631384229091,-1.123785314756585,428.28727654947147,54.923583267117806
福岡ソフトバンク,910382833,44440,1404,4470,3925,531,978,165,28,126,1577,499,99,32,80,34,397,34,849,50,5.115000000000001,8.605,6.681000000000001,659,1406.1000000000001,4390,6.726046240097438,6.9372709830329935,24.66227298249101,15840,595760,65186,513.7542227609252,910382833.0,44418.0,1554.0,5310.0,4707.492610837438,557.0,1191.2976776917665,167.05981703026038,21.18156228008445,200.12807881773398,2001.1048557353975,568.0,99.0,47.0,99.29486277269527,29.005629838142156,432.597466572836,41.6094299788881,1038.0,76.0,4.984,8.091999999999999,6.695,741.0,1585.5,4772.0,6.601695223915018,7.0366718473133165,59.127948734375565,18876.0,721435.0,81265.0,605.8809960851328,25.063772387910397,4470.0,3917.732383262129,486.2683266299247,979.7410412209011,137.9137600148662,28.02630625191926,142.82974200009835,1602.1966397399008,436.89499589041975,129.45386033602998,41.693825253763535,100.8807412548561,26.382126292031604,385.04045487845036,39.96429431253243,771.6265200797212,65.15187530534912,670.9712329540173,1411.1668961148966,4369.119258745144,6.748951384135749,16.359383702356688,519.8345702486815,-6.080347487756242
読　売,1003893584,56560,1689,4639,4130,539,1080,191,9,163,1778,569,74,38,19,22,440,28,890,91,5.6049999999999995,8.616,7.348000000000001,717,1561.5999999999997,4620,7.149545507021476,8.920088432570164,86.20619598071782,20160,758604,82936,593.3747635073852,1003893584.0,56532.0,1979.0,6916.0,6091.48932676519,773.0,1559.0966455547739,257.7530690437095,13.151145515677532,236.7405582922824,2553.3736805066847,784.0,90.0,40.0,56.31480178278207,69.89702087731645,633.6407850496521,64.65806552506061,1305.0,178.0,5.787999999999999,9.107999999999999,7.626000000000001,962.0,2090.7999999999993,6226.0,7.50338144118021,8.939180650521378,99.74972547490677,24024.0,918396.0,101724.0,794.4358145728006,19.866877097922753,4639.0,4064.4159967323085,505.00545806766127,1055.574829718814,177.29845512937143,7.916351932348377,158.55366040027008,1724.366969913693,514.4861663187137,56.89642854268045,31.735571729163425,40.12513075804993,45.43844061324694,443.72723371132236,45.29319818507354,844.992763818913,111.62757745729873,711.806362256824,1543.2015039190994,4598.87486924195,8.344193516101159,71.15555050538654,584.5980617621406,8.776701745244615
阪　神,941116544,42420,1173,3230,2840,385,728,134,15,73,1111,342,70,28,54,19,282,35,606,58,4.473000000000001,6.901000000000001,6.052000000000001,506,1021.4999999999998,3176,5.882611914993406,6.690066324427622,7.0934138396250095,15120,568953,62202,360.22005171656747,941116544.0,42399.0,1539.0,5423.0,4805.492610837439,518.0,1240.2976776917665,221.0598170302604,21.18156228008445,98.128078817734,1798.1048557353975,487.0,99.0,36.0,87.29486277269528,29.005629838142156,447.597466572836,53.609429978888116,902.0,88.0,5.297000000000001,10.590000000000002,6.537000000000001,838.0,1557.9,4897.0,7.435235441317852,6.69907232167789,-1.630894741898949,18018.0,688863.0,75747.0,545.1974746145623,11.772832295219652,3230.0,2884.042988328588,310.91070927566125,737.2277427309259,130.64221842763632,14.164624610984514,59.496923173191256,1074.689979900105,285.40216807718934,68.31864154524536,23.076704296668137,56.504915738723945,15.901187062673882,241.9371551227224,31.61375374729074,539.977212391551,53.89573138488946,532.9239765191139,982.6093447560967,3173.495084261276,6.167251521722448,-26.3097541372561,328.8592852798704,31.360766436697
