年,チーム,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
2019,埼玉西武,143,5619,4898,756,1299,229,23,174,2096,718,134,49,78,38,556,49,1083,88,0.265,0.428,0.344
2019,千葉ロッテ,143,5503,4789,642,1194,214,21,158,1924,613,75,35,92,29,505,87,1013,99,0.249,0.402,0.33
2019,東北楽天,143,5506,4766,614,1196,195,22,141,1858,589,48,38,98,35,539,68,1127,114,0.251,0.39,0.333
2019,福岡ソフトバンク,143,5345,4775,582,1199,172,19,183,1958,559,113,49,100,30,397,43,1084,85,0.251,0.41,0.312
2019,北海道日本ハム,143,5428,4778,560,1200,211,28,93,1746,532,48,25,78,33,496,43,1044,106,0.251,0.365,0.325
2019,オリックス,143,5391,4774,544,1153,181,22,102,1684,516,122,59,101,33,417,66,1030,85,0.242,0.353,0.309
2019,読　売,143,5537,4835,663,1242,221,15,183,2042,627,83,20,84,31,540,47,1205,106,0.257,0.422,0.335
2019,東京ヤクルト,143,5572,4833,656,1181,205,19,167,1925,630,62,25,84,29,570,56,1212,105,0.244,0.398,0.329
2019,横浜DeNA,143,5375,4778,596,1177,210,14,163,1904,575,40,26,81,26,449,41,1065,109,0.246,0.398,0.315
2019,広島東洋,143,5504,4852,591,1232,216,17,140,1902,562,81,43,111,26,479,36,1106,86,0.254,0.392,0.324
2019,中　日,143,5350,4816,563,1265,240,31,90,1837,545,63,34,108,29,349,48,1024,104,0.263,0.381,0.317
2019,阪　神,143,5465,4835,538,1213,216,20,94,1751,509,100,36,104,30,447,49,1044,102,0.251,0.362,0.319
2020,東北楽天,120,4628,3990,557,1029,190,23,112,1601,534,67,30,87,30,473,48,918,87,0.258,0.401,0.341
2020,北海道日本ハム,120,4560,3952,493,986,153,17,89,1440,472,80,23,85,31,460,32,878,86,0.249,0.364,0.33
2020,福岡ソフトバンク,120,4480,3933,531,979,165,28,126,1578,500,99,32,81,34,398,34,851,50,0.249,0.401,0.321
2020,オリックス,120,4467,3947,442,975,166,19,90,1449,422,95,39,89,21,361,49,811,86,0.247,0.367,0.316
2020,埼玉西武,120,4440,3898,479,926,161,24,107,1456,459,85,40,60,27,411,44,956,74,0.238,0.374,0.315
2020,千葉ロッテ,120,4505,3840,461,902,171,11,90,1365,435,87,32,96,19,491,58,954,80,0.235,0.355,0.329
2020,読　売,120,4519,3994,532,1019,183,16,135,1639,507,80,33,59,21,423,22,974,80,0.255,0.41,0.328
2020,広島東洋,120,4609,4082,523,1069,198,21,110,1639,501,64,34,81,17,386,43,890,91,0.262,0.402,0.331
2020,横浜DeNA,120,4501,4058,516,1078,180,10,135,1683,495,31,15,51,26,337,29,867,94,0.266,0.415,0.324
2020,阪　神,120,4475,3923,494,965,167,17,110,1496,472,80,33,86,23,400,43,955,83,0.246,0.381,0.321
2020,東京ヤクルト,120,4552,3994,468,967,163,13,114,1498,449,74,42,56,26,434,42,931,95,0.242,0.375,0.321
2020,中　日,120,4437,3952,429,997,178,18,70,1421,415,33,22,73,27,346,39,812,101,0.252,0.36,0.317